price,area,location,district,bedrooms_n,bathrooms_n,floors_n,house_type,year_built,facade_width,legal_status
1890.0,100.0,"Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,3,3,,nhà ở,,,so hong
2190.0,80.0,"Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,3,3,,nhà ở,,,so hong
5990.0,62.0,"Thành Phố Dĩ An, Bình Dương",Thành Phố Dĩ An,3,3,,nhà phố,,,so hong
890.0,85.0,"Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,0,0,,đất nền,,,so hong
890.0,80.0,"Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,0,0,,đất nền,,,so hong
890.0,99.0,"Huyện Bắc Tân Uyên, Bình Dương",Huyện Bắc Tân Uyên,0,0,,đất nền,,,so hong
920.0,79.0,"Huyện Bắc Tân Uyên, Bình Dương",Huyện Bắc Tân Uyên,0,0,,nhà ở,,,so hong
2750.0,55.0,"Thành Phố Thuận An, Bình Dương",Thành Phố Thuận An,2,2,,căn hộ,,,hop dong mua ban
3250.0,65.0,"Thành Phố Thuận An, Bình Dương",Thành Phố Thuận An,2,2,,nhà ở,,,hop dong mua ban
2100.0,67.0,"Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,3,2,,nhà ở,,,so hong
3500.0,80.0,"Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,3,3,,nhà ở,,,so hong
2900.0,74.0,"Thành Phố Thuận An, Bình Dương",Thành Phố Thuận An,2,2,,nhà ở,,,so hong
2400.0,120.0,"TP. thủ Dầu Một, Bình Dương",TP. thủ Dầu Một,3,4,,nhà ở,,,so hong
2500.0,47.0,"Thành Phố Thuận An, Bình Dương",Thành Phố Thuận An,2,1,,căn hộ,,,so hong
2700.0,55.0,"Thành Phố Thuận An, Bình Dương",Thành Phố Thuận An,2,2,,căn hộ,,,so hong
2100.0,80.0,"Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,3,3,,nhà ở,,,so hong
790.0,259.0,"Huyện Chơn Thành, Bình Phước",Huyện Chơn Thành,0,0,,nhà ở,,,so hong
1650.0,359.0,"Huyện Chơn Thành, Bình Phước",Huyện Chơn Thành,0,0,,nhà ở,,,so do
660.0,165.0,"Huyện Chơn Thành, Bình Phước",Huyện Chơn Thành,0,0,,nhà ở,,,so hong
580.0,120.0,"Huyện Chơn Thành, Bình Phước",Huyện Chơn Thành,0,0,,nhà ở,,,so hong
790.0,260.0,"Huyện Chơn Thành, Bình Phước",Huyện Chơn Thành,0,0,,nhà ở,,,so hong
690.0,200.0,"Huyện Chơn Thành, Bình Phước",Huyện Chơn Thành,0,0,,nhà ở,,,so hong
3000.0,1000.0,"Huyện Chơn Thành, Bình Phước",Huyện Chơn Thành,0,0,,nhà ở,,,so hong
2500.0,250.0,"Huyện Việt Yên, Bắc Giang",Huyện Việt Yên,0,0,,nhà ở,,,so do
19000.0,200.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,6,7,,biệt thự,,,so hong
25000.0,590.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,3,,nhà ở,,,so hong
26000.0,160.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,2,,nhà ở,,,so hong
55000.0,1025.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,nhà ở,,,so hong
60000.0,469.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,2,,nhà ở,,,so hong
31200.0,260.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,2,,nhà ở,,,so hong
44700.0,3726.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,1,1,,nhà ở,,,so hong
12000.0,122.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,5,5,,nhà ở,,,so hong
8000.0,970.0,"Huyện Phong Điền, Cần Thơ",Huyện Phong Điền,0,0,,nhà ở,,,so hong
60000.0,1217.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,7,8,,biệt thự,,,so hong
22000.0,1093.0,"Quận Bình Thuỷ, Cần Thơ",Quận Bình Thuỷ,0,0,,nhà ở,,,so hong
17000.0,3528.0,"Huyện Phong Điền, Cần Thơ",Huyện Phong Điền,0,0,,nhà ở,,,so hong
